day,value
2016-11-07,3351.738923135838
2016-11-14,3654.739612918153
2016-11-21,3956.4980446971363
2016-11-28,4110.328765292027
2016-12-05,4380.161987987969
2016-12-12,4588.432446782035
2016-12-19,4894.788262914843
2016-12-26,5147.057206196721
2017-01-02,5221.636319562173
2017-01-09,4746.19809603555
2017-01-16,4265.818204423272
2017-01-23,3919.790603928838
2017-01-30,3931.2880166705027
2017-02-06,3882.150109110006
2017-02-13,3792.485438221287
2017-02-20,3877.964249720585
2017-02-27,4107.078255542617
2017-03-06,4270.771049957038
2017-03-13,4263.522718197548
2017-03-20,4352.3544709934
2017-03-27,4192.182059379818
2017-04-03,3767.159517298975
2017-04-10,3836.1860736348576
2017-04-17,3583.4568422167126
2017-04-24,3358.922583110391
2017-05-01,3306.171935266831
2017-05-08,3273.2581077882883
2017-05-15,3329.3217994550196
2017-05-22,3059.6508781673
2017-05-29,2941.1684573154366
2017-06-05,2827.0631755830655
2017-06-12,2762.3678093445205
2017-06-19,2531.226955653739
2017-06-26,2460.310982492011
2017-07-03,2232.927804940478
2017-07-10,2075.984947210748
2017-07-17,1962.1824812401865
2017-07-24,2043.2681401974078
2017-07-31,1949.594337480062
2017-08-07,1988.8649424837977
2017-08-14,1845.4634073866673
2017-08-21,1613.9835620333577
2017-08-28,1836.595551048365
2017-09-04,2437.5486561998136
2017-09-11,2670.0972231222363
2017-09-18,3642.7468782920896
2017-09-25,3975.939697636005
2017-10-02,4208.712718157863
2017-10-09,4100.2930386667995
2017-10-16,3729.709779455943
2017-10-23,3405.8707512862998
2017-10-30,3499.9221214918207
2017-11-06,3551.0391202775313
2017-11-13,3496.7310149721707
2017-11-20,3614.1387418769127
2017-11-27,3655.813655018785
2017-12-04,3783.529004849012
2017-12-11,4059.1853846212334
2017-12-18,4357.114810702957
2017-12-25,4622.995940500622
2018-01-01,4772.972787976227
2018-01-08,4394.751553061595
2018-01-15,3971.0318307881034
2018-01-22,4026.10666035433
2018-01-29,4412.179554662889
2018-02-05,4957.591490105073
2018-02-12,5070.881665590637
2018-02-19,5125.907483539899
2018-02-26,5069.997714811072
2018-03-05,4728.388237146877
2018-03-12,4576.471287501534
2018-03-19,4712.63478776778
2018-03-26,4386.413539132981
2018-04-02,4121.264202478464
2018-04-09,3865.1511225414247
2018-04-16,3473.0541037552125
2018-04-23,3273.4154627077155
2018-04-30,3163.4313426563926
2018-05-07,2829.776539451308
2018-05-14,2767.4343446827834
2018-05-21,2928.5901575780767
2018-05-28,2947.2391214061668
2018-06-04,2758.6320422439426
2018-06-11,2812.5623150106208
2018-06-18,2602.9022193318647
2018-06-25,2549.6932896366293
2018-07-02,2298.183172599636
2018-07-09,2163.8777840355424
2018-07-16,2105.7944229788977
2018-07-23,2121.217471284491
2018-07-30,1875.0942227303715
2018-08-06,1894.7337086382202
2018-08-13,1911.642668516981
2018-08-20,1888.5759835547744
2018-08-27,2173.3183560205534
2018-09-03,2639.6586803733626
2018-09-10,3220.979912245791
2018-09-17,4032.127708147391
2018-09-24,4119.593935395283
2018-10-01,4283.296588301459
2018-10-08,4330.150952656076
2018-10-15,4029.716105697719
2018-10-22,3708.875340812098
2018-10-29,3695.655637046602
2018-11-05,3553.6027357450816
2018-11-12,3402.2062579707654
2018-11-19,3550.119204810473
2018-11-26,3618.469030973859
2018-12-03,3761.086691626311
2018-12-10,4056.771627098547
2018-12-17,4162.278283979655
2018-12-24,4844.154267039581
2018-12-31,4835.853741010128
2019-01-07,4515.02315417663
2019-01-14,3963.262624349156
2019-01-21,3834.573795836691
2019-01-28,3776.3884618971992
2019-02-04,3803.181032624871
2019-02-11,3976.4631352839265
2019-02-18,3928.444582478846
2019-02-25,3951.99472655494
2019-03-04,4022.418525861471
2019-03-11,3981.029407705183
2019-03-18,4157.907325661745
2019-03-25,4194.677687272159
2019-04-01,3950.8751299360915
2019-04-08,3916.350366238675
2019-04-15,3759.42102888737
2019-04-22,3611.1992938826493
2019-04-29,3294.8377169777127
2019-05-06,3219.086555158263
2019-05-13,3049.191084716911
2019-05-20,2859.785408194501
2019-05-27,2838.4105618958965
2019-06-03,2681.5394345708096
2019-06-10,2522.95103871918
2019-06-17,2476.9975875446607
2019-06-24,2399.96981391392
2019-07-01,2333.868387218261
2019-07-08,2192.0170981999627
2019-07-15,2070.788980568424
2019-07-22,1933.2381083785356
2019-07-29,1917.117700484133
2019-08-05,1911.0260699370417
2019-08-12,1771.6301083237752
2019-08-19,1778.3908708541014
2019-08-26,2214.3393253840086
2019-09-02,2516.4023765708394
2019-09-09,2972.4928767507754
2019-09-16,3765.0143688769035
2019-09-23,4171.836821268686
2019-09-30,4348.023685138349
2019-10-07,4307.768854061926
2019-10-14,3957.88280100371
2019-10-21,3559.273447851192
2019-10-28,3467.045510187364
2019-11-04,3326.7556465045263
2019-11-11,3314.002757857637
2019-11-18,3418.9859089892443
2019-11-25,3627.819043940561
2019-12-02,3946.4412224094895
2019-12-09,4102.602606243102
2019-12-16,4121.022994563077
2019-12-23,4387.472346292147
2019-12-30,4590.419096564718
2020-01-06,4268.611895545143
2020-01-13,3653.137620218568
2020-01-20,3614.0119904574503
2020-01-27,3706.540829828268
2020-02-03,4166.089261075784
2020-02-10,4375.628317533051
2020-02-17,4477.407661890716
2020-02-24,4617.077617766175
2020-03-02,4853.7723359957745
2020-03-09,6236.580264312599
2020-03-16,7455.139572897976
2020-03-23,5543.788010583488
