day,value
2016-11-28,331761.1798363982
2016-12-05,331155.28606657416
2016-12-12,362606.06460566376
2016-12-19,421542.5728842251
2016-12-26,446732.68839644745
2017-01-02,449061.01207154593
2017-01-09,415456.14995864173
2017-01-16,370975.36341165326
2017-01-23,352800.89395479753
2017-01-30,356947.97465486126
2017-02-06,361681.4128541898
2017-02-13,358817.0857339997
2017-02-20,311444.00912382005
2017-02-27,284917.039406564
2017-03-06,303059.80851483945
2017-03-13,320438.1506311209
2017-03-20,314186.8465853288
2017-03-27,317165.9652732771
2017-04-03,298736.79411555745
2017-04-10,288025.90765666356
2017-04-17,256583.1107349204
2017-04-24,249999.22289113578
2017-05-01,276270.4078928095
2017-05-08,275466.2731645365
2017-05-15,279673.8258287523
2017-05-22,265676.9438124721
2017-05-29,248276.64032773452
2017-06-05,235881.14929312418
2017-06-12,207720.17039907703
2017-06-19,201075.26135311136
2017-06-26,214523.848307993
2017-07-03,208043.50726428174
2017-07-10,201295.4728156366
2017-07-17,185485.68139284884
2017-07-24,177110.69775355922
2017-07-31,176017.63001737776
2017-08-07,187509.19283310976
2017-08-14,180631.23618298935
2017-08-21,196008.6658453447
2017-08-28,213479.5367011454
2017-09-04,218445.4147114108
2017-09-11,255514.00085153195
2017-09-18,309890.7128810151
2017-09-25,334101.4131433557
2017-10-02,339494.9238558255
2017-10-09,339817.6807403958
2017-10-16,345894.4305496156
2017-10-23,354403.8055735064
2017-10-30,371339.79859255586
2017-11-06,391889.0494863623
2017-11-13,380308.48137979576
2017-11-20,364456.50732538576
2017-11-27,400937.2062407984
2017-12-04,406563.1664859408
2017-12-11,412840.9697818136
2017-12-18,465493.48982572096
2017-12-25,496698.33483978733
2018-01-01,532148.1841513211
2018-01-08,469065.1002714491
2018-01-15,424421.0922304461
2018-01-22,390762.19024122827
2018-01-29,415645.3589994673
2018-02-05,460572.7113601691
2018-02-12,438147.1329916512
2018-02-19,375459.7869137456
2018-02-26,330392.8797067337
2018-03-05,339342.9203132771
2018-03-12,332461.16575973
2018-03-19,335357.77058404987
2018-03-26,325526.80004575884
2018-04-02,305121.8665035658
2018-04-09,316576.48001021025
2018-04-16,283217.383888415
2018-04-23,261701.29477563433
2018-04-30,248442.39368618914
2018-05-07,239830.23126662287
2018-05-14,235097.1083101978
2018-05-21,230868.78846453264
2018-05-28,206042.5391773252
2018-06-04,202037.70848400804
2018-06-11,206493.08415712285
2018-06-18,197793.46894206683
2018-06-25,203314.4571531098
2018-07-02,194662.4207546082
2018-07-09,190061.421117531
2018-07-16,176031.89248515046
2018-07-23,173332.8624547125
2018-07-30,162381.83300028782
2018-08-06,173340.55860221732
2018-08-13,182660.76520722912
2018-08-20,199526.24318028748
2018-08-27,196457.3407753642
2018-09-03,210564.95653684216
2018-09-10,242215.28556397354
2018-09-17,301285.1903790144
2018-09-24,348917.92229333887
2018-10-01,382024.0385841355
2018-10-08,357475.55973836407
2018-10-15,404034.9727658272
2018-10-22,392765.53902742337
2018-10-29,385971.12781140255
2018-11-05,380541.897324337
2018-11-12,368043.8566245792
2018-11-19,362110.33487471845
2018-11-26,403153.7366336903
2018-12-03,410043.2555799672
